task_id,rep,score,breakdown_json,feedback
deteriorating_patient,3,0.9999,"{""step"": ""T=30"", ""agent_action"": ""escalate"", ""correct_action"": ""escalate"", ""news2"": 8, ""reward"": 0.9999, ""signal_bonus"": 0.0001}",Excellent at T=30 min (score=1.00)
sepsis_bundle,1,0.9999,"{""bundle_completeness"": 0.5, ""antibiotic"": 0.25, ""fluid_volume"": 0.15, ""vasopressor"": 0.1, ""total"": 0.9999, ""feedback"": ""Excellent sepsis bundle compliance!""}",Excellent (score=1.00)
sepsis_bundle,2,0.9999,"{""bundle_completeness"": 0.5, ""antibiotic"": 0.25, ""fluid_volume"": 0.15, ""vasopressor"": 0.1, ""total"": 0.9999, ""feedback"": ""Excellent sepsis bundle compliance!""}",Excellent (score=1.00)
sepsis_bundle,3,0.9999,"{""bundle_completeness"": 0.5, ""antibiotic"": 0.25, ""fluid_volume"": 0.15, ""vasopressor"": 0.1, ""total"": 0.9999, ""feedback"": ""Excellent sepsis bundle compliance!""}",Excellent (score=1.00)
paediatric_triage,1,0.425,"{""priority"": 0.175, ""age_group"": 0.25, ""critical_sign"": 0.0001, ""recommended_action"": 0.0001, ""total"": 0.425, ""feedback"": ""Priority: expected 'high', got 'critical'; Critical sign: expected 'spo2', got 'spo2=87%'; Recommended action: expected 'urgent_review', got 'emergency_response'""}",Partial (score=0.42)
paediatric_triage,2,0.425,"{""priority"": 0.175, ""age_group"": 0.25, ""critical_sign"": 0.0001, ""recommended_action"": 0.0001, ""total"": 0.425, ""feedback"": ""Priority: expected 'high', got 'critical'; Critical sign: expected 'spo2', got 'spo2=87%'; Recommended action: expected 'urgent_review', got 'emergency_response'""}",Partial (score=0.42)
paediatric_triage,3,0.425,"{""priority"": 0.175, ""age_group"": 0.25, ""critical_sign"": 0.0001, ""recommended_action"": 0.0001, ""total"": 0.425, ""feedback"": ""Priority: expected 'high', got 'critical'; Critical sign: expected 'spo2', got 'spo2=87%'; Recommended action: expected 'urgent_review', got 'emergency_response'""}",Partial (score=0.42)
medication_reconciliation,1,0.45,"{""issues_found"": 0.0001, ""severity"": 0.15, ""recommended_action"": 0.2, ""requires_pharmacist"": 0.1, ""total"": 0.45, ""feedback"": ""Missed issues: ['nsaid_potentiates_anticoagulation', 'supratherapeutic_inr', 'warfarin_nsaid_interaction']; Spurious issues: ['elevated_inr', 'warfarin_ibuprofen_interaction']; Severity: expected 'critical', got 'high'""}",Partial (score=0.45)
medication_reconciliation,2,0.737,"{""issues_found"": 0.2667, ""severity"": 0.15, ""recommended_action"": 0.2, ""requires_pharmacist"": 0.1, ""total"": 0.7167, ""feedback"": ""Missed issues: ['nsaid_potentiates_anticoagulation']; Severity: expected 'critical', got 'high'"", ""confidence_bonus"": 0.02}",Good (score=0.74)
medication_reconciliation,3,0.537,"{""issues_found"": 0.2667, ""severity"": 0.15, ""recommended_action"": 0.0001, ""requires_pharmacist"": 0.1, ""total"": 0.5167, ""feedback"": ""Missed issues: ['nsaid_potentiates_anticoagulation']; Severity: expected 'critical', got 'high'; Action: expected 'withhold_drug', got 'emergency_review'"", ""confidence_bonus"": 0.02}",Partial (score=0.54)
icu_deterioration,1,0.52,"{""intervention"": 0.35, ""sofa_score"": 0.0001, ""primary_organ_failure"": 0.0001, ""deterioration_trend"": 0.15, ""feedback"": ""intervention=correct; sofa_delta=4; organ=wrong; trend=correct"", ""confidence_bonus"": 0.02}",Partial (score=0.52)
icu_deterioration,2,0.83,"{""intervention"": 0.35, ""sofa_score"": 0.25, ""primary_organ_failure"": 0.0001, ""deterioration_trend"": 0.15, ""feedback"": ""intervention=correct; sofa_delta=0; organ=wrong; trend=correct"", ""confidence_bonus"": 0.08}",Good (score=0.83)
icu_deterioration,3,0.77,"{""intervention"": 0.35, ""sofa_score"": 0.25, ""primary_organ_failure"": 0.0001, ""deterioration_trend"": 0.15, ""feedback"": ""intervention=correct; sofa_delta=0; organ=wrong; trend=correct"", ""confidence_bonus"": 0.02}",Good (score=0.77)
sbar_handover,1,0.9999,"{""escalation_required"": 0.4, ""priority"": 0.25, ""assessment"": 0.2, ""recommendation"": 0.15, ""feedback"": ""escalation=correct; priority=correct; assessment_keywords=7/9; recommendation=correct"", ""confidence_bonus"": 0.02}",Excellent (score=1.00)
sbar_handover,2,0.9999,"{""escalation_required"": 0.4, ""priority"": 0.25, ""assessment"": 0.2, ""recommendation"": 0.15, ""feedback"": ""escalation=correct; priority=correct; assessment_keywords=8/9; recommendation=correct"", ""confidence_bonus"": 0.02}",Excellent (score=1.00)
sbar_handover,3,0.9999,"{""escalation_required"": 0.4, ""priority"": 0.25, ""assessment"": 0.2, ""recommendation"": 0.15, ""feedback"": ""escalation=correct; priority=correct; assessment_keywords=8/9; recommendation=correct"", ""confidence_bonus"": 0.02}",Excellent (score=1.00)
differential_diagnosis,1,0.9999,"{""must_not_miss"": 0.4, ""top_diagnosis"": 0.25, ""differentials"": 0.2, ""first_investigation"": 0.15, ""feedback"": ""must_not_miss=correct; top_diagnosis=correct; differentials=3/3; first_investigation=correct"", ""confidence_bonus"": 0.02}",Excellent (score=1.00)
differential_diagnosis,2,0.9999,"{""must_not_miss"": 0.4, ""top_diagnosis"": 0.25, ""differentials"": 0.2, ""first_investigation"": 0.15, ""feedback"": ""must_not_miss=correct; top_diagnosis=correct; differentials=3/3; first_investigation=correct"", ""confidence_bonus"": 0.02}",Excellent (score=1.00)
differential_diagnosis,3,0.9999,"{""must_not_miss"": 0.4, ""top_diagnosis"": 0.25, ""differentials"": 0.2, ""first_investigation"": 0.15, ""feedback"": ""must_not_miss=correct; top_diagnosis=correct; differentials=3/3; first_investigation=correct"", ""confidence_bonus"": 0.02}",Excellent (score=1.00)
